customer_id,model,credit_score,income_k,region,profit_usd
C00001,Model_A,654,78.4,South,144.82
C00002,Model_A,585,73.6,West,43.48
C00003,Model_A,743,54.8,North,150.47
C00004,Model_A,568,53.6,North,106.58
C00005,Model_A,596,57.8,West,38.81
C00006,Model_A,665,29.7,North,55.93
C00007,Model_A,723,60.9,North,19.99
C00008,Model_A,551,63.2,South,52.22
C00009,Model_A,659,79.6,West,43.15
C00010,Model_A,717,48.2,South,138.68
C00011,Model_A,663,35.8,East,-13.96
C00012,Model_A,646,18.7,East,-0.43
C00013,Model_A,774,43.9,East,239.44
C00014,Model_A,595,82.8,South,130.01
C00015,Model_A,653,25.2,North,-68.9
C00016,Model_A,636,57.6,North,35.31
C00017,Model_A,714,89.3,South,36.91
C00018,Model_A,651,22.8,East,132.63
C00019,Model_A,576,38.8,West,44.25
C00020,Model_A,531,65.7,North,179.94
C00021,Model_A,573,98.3,South,230.26
C00022,Model_A,758,67.3,South,-60.58
C00023,Model_A,582,28.6,North,25.79
C00024,Model_A,687,41.8,South,47.07
C00025,Model_A,679,57.3,South,47.79
C00026,Model_A,764,65.4,North,115.88
C00027,Model_A,613,45.2,East,23.63
C00028,Model_A,630,97.5,North,41.7
C00029,Model_A,746,103.2,North,111.29
C00030,Model_A,628,37.8,West,-45.39
C00031,Model_A,647,86.7,East,-70.13
C00032,Model_A,576,74.4,East,203.18
C00033,Model_A,725,57.6,North,-46.62
C00034,Model_A,745,56.5,South,-90.6
C00035,Model_A,699,38.7,East,51.82
C00036,Model_A,663,102.6,North,76.44
C00037,Model_A,567,83.5,West,-49.91
C00038,Model_A,600,45.2,North,179.13
C00039,Model_A,584,73.6,East,69.38
C00040,Model_A,720,101.5,West,-34.39
C00041,Model_A,563,57.2,West,-95.67
C00042,Model_A,633,40.8,South,104.51
C00043,Model_A,646,14.4,East,9.23
C00044,Model_A,729,41.6,East,227.75
C00045,Model_A,577,56.6,West,69.75
C00046,Model_A,703,113,West,65
C00047,Model_A,607,35.5,East,138.33
C00048,Model_A,605,38.3,South,171.79
C00049,Model_A,664,71.6,West,223.69
